Scheme Name,Ministry,Category,Eligibility,Benefits,Required Documents,Coverage,Official Portal
PM-KISAN,Agriculture,Farmers,Eligible farmer families with cultivable land,"Rs.6,000 annual income support in 3 installments","Aadhaar, Bank Account, Land Records",India,https://pmkisan.gov.in
Ayushman Bharat PM-JAY,Health,Healthcare,BPL and low income beneficiary families,Health insurance up to Rs.5 lakh per family per year,Aadhaar,India,https://pmjay.gov.in
PM Awas Yojana - Gramin,Housing,Housing,Eligible rural households without pucca house,Financial assistance of Rs.1.20 lakh for house construction,"Aadhaar, Income Proof, BPL Certificate",India,https://pmayg.nic.in
PM Awas Yojana - Urban,Housing,Housing,Eligible urban poor households,Financial assistance for housing construction or purchase,"Aadhaar, Income Proof",India,https://pmaymis.gov.in
PM Mudra Yojana,Finance,MSME,Non-corporate non-farm small micro enterprises,Collateral-free loans up to Rs.10 lakh (Shishu/Kishor/Tarun),"Identity & Business Documents, PAN",India,https://www.mudra.org.in
Stand-Up India,Finance,Entrepreneurship,SC/ST and women entrepreneurs for greenfield enterprise,Bank loans between Rs.10 lakh and Rs.1 crore,"Identity & Business Documents, Caste Certificate",India,https://www.standupmitra.in
PM Kaushal Vikas Yojana,Skill Development,Skill,Youth between 15-45 years seeking skill training,Free skill certification and monetary reward up to Rs.8,000,"Aadhaar, Age Proof",India,https://www.pmkvyofficial.org
Atal Pension Yojana,Finance,Pension,Unorganised sector workers aged 18-40 years,Guaranteed pension of Rs.1000-5000 per month after age 60,"Bank Account, Aadhaar",India,https://www.npscra.nsdl.co.in
Sukanya Samriddhi Yojana,Finance,Girl Child,Girl child below 10 years (parents/guardians can open),High interest savings account with tax benefits,Birth Certificate of girl child,India,https://www.indiapost.gov.in
National Apprenticeship Promotion Scheme,Skill Development,Employment,Students/graduates seeking on-the-job training,Apprenticeship stipend support and training,"Identity & Education Documents",India,https://www.apprenticeshipindia.gov.in
PM Ujjwala Yojana,Petroleum & Natural Gas,Women,BPL women above 18 years without LPG connection,Free LPG connection and first refill,"BPL Ration Card, Aadhaar, Bank Account",India,https://www.pmujjwalayojana.com
Pradhan Mantri Jan Dhan Yojana,Finance,Financial Inclusion,Any Indian citizen without a bank account,Zero-balance bank account with debit card and insurance,"Aadhaar, Address Proof",India,https://pmjdy.gov.in
Pradhan Mantri Suraksha Bima Yojana,Finance,Insurance,Bank account holders aged 18-70 years,Accident insurance of Rs.2 lakh at just Rs.20/year,"Bank Account, Aadhaar",India,https://www.myscheme.gov.in/schemes/pmsby
Pradhan Mantri Jeevan Jyoti Bima Yojana,Finance,Insurance,Bank account holders aged 18-50 years,Life insurance of Rs.2 lakh at Rs.436/year,"Bank Account, Aadhaar",India,https://www.myscheme.gov.in/schemes/pmjjby
Kisan Credit Card,Agriculture,Farmers,Farmers with agricultural land,Short-term credit for crop cultivation needs at low interest,"Land Records, Identity Proof",India,https://www.nabard.org/content1.aspx?id=23
PM Fasal Bima Yojana,Agriculture,Farmers,Farmers growing notified crops in notified areas,Crop insurance against natural calamities at low premium,"Land Records, Aadhaar, Bank Account",India,https://pmfby.gov.in
National Food Security Mission,Agriculture,Farmers,Small and marginal farmers,Seeds subsidies and improved agricultural inputs,"Land Records, Aadhaar",India,https://nfsm.gov.in
Soil Health Card Scheme,Agriculture,Farmers,All farmers,Free soil testing and nutrient management advice,"Aadhaar, Land Records",India,https://soilhealth.dac.gov.in
Rashtriya Krishi Vikas Yojana,Agriculture,Agriculture,Farmers for agriculture and allied sector development,Financial assistance for agricultural development projects,"Land Records, Bank Account",India,https://rkvy.nic.in
eNAM - National Agriculture Market,Agriculture,Farmers,All registered farmers and traders,Online trading platform for agricultural commodities,"Aadhaar, Bank Account",India,https://enam.gov.in
National Scholarship Portal - Merit Cum Means,Education,Scholarship,Students with family income below Rs.2.5 lakh per annum,Scholarship up to Rs.20,000 per year for higher education,"Income Certificate, Marksheet, Aadhaar",India,https://scholarships.gov.in
Post Matric Scholarship for SC Students,Education,Scholarship,SC students studying post-matriculation courses,Full tuition fee reimbursement and maintenance allowance,"Caste Certificate, Income Certificate, Marksheet",India,https://scholarships.gov.in
Pre Matric Scholarship for OBC Students,Education,Scholarship,OBC students in classes 9-10,Scholarship for educational expenses,"OBC Certificate, Income Certificate",India,https://scholarships.gov.in
National Means Cum Merit Scholarship,Education,Scholarship,Students in class 8 from low income families selected through exam,Rs.12,000 per year scholarship for classes 9-12,"Marksheet, Income Certificate, Bank Account",India,https://scholarships.gov.in
Begum Hazrat Mahal National Scholarship,Minority Affairs,Scholarship,Muslim/Christian/Sikh/Buddhist/Parsi girls in classes 9-12,Scholarship of Rs.5,000-6,000 per year,"Community Certificate, Marksheet, Income Certificate",India,https://scholarships.gov.in
